"Include",    "RoslynVersion",    "CSharpVersion",    "AnalyzersPackageVersion",  "Visual Studio Version",        ".NET Version", "NoWarn"
"false",      "3.8.0",            "9",                "3.3.3",                    "Visual Studio 2019 v16.8",     ".NET 5",       "$(NoWarn);nullable"
"false",      "3.9.0",            "9",                "3.3.3",                    "Visual Studio 2019 v16.9",     ".NET 5",       "$(NoWarn);nullable"
"false",      "3.10.0",           "9",                "3.3.3",                    "Visual Studio 2019 v16.10",    ".NET 5",       "$(NoWarn);nullable"
"false",      "3.11.0",           "9",                "3.3.3",                    "Visual Studio 2019 v16.11",    ".NET 5",       "$(NoWarn);nullable"
"false",      "4.0.1",            "10",               "3.3.4",                    "Visual Studio 2022 RTM",       ".NET 6",       "$(NoWarn);nullable"
"false",      "4.1.0",            "10",               "3.3.4",                    "Visual Studio 2022 v17.1",     ".NET 6",       "$(NoWarn);nullable"
"false",      "4.2.0",            "10",               "3.3.4",                    "Visual Studio 2022 v17.2",     ".NET 6",       "$(NoWarn);nullable"
"false",      "4.3.1",            "11",               "3.3.4",                    "Visual Studio 2022 v17.3",     ".NET 7",       "$(NoWarn);nullable"
"false",      "4.4.0",            "11",               "3.3.4",                    "Visual Studio 2022 v17.4",     ".NET 7",       "$(NoWarn);nullable"
"false",      "4.5.0",            "11",               "3.3.4",                    "Visual Studio 2022 v17.5",     ".NET 7",       "$(NoWarn);nullable"
"false",      "4.6.0",            "11",               "3.3.4",                    "Visual Studio 2022 v17.6",     ".NET 7",       "$(NoWarn);nullable"
"false",      "4.7.0",            "11",               "3.3.4",                    "Visual Studio 2022 v17.7",     ".NET 7",       "$(NoWarn);nullable"
"true",       "4.8.0",            "12",               "3.3.4",                    "Visual Studio 2022 v17.8",     ".NET 8",       "$(NoWarn);nullable"
"true",       "4.9.2",            "12",               "3.3.4",                    "Visual Studio 2022 v17.9",     ".NET 8",       "$(NoWarn);nullable"
"true",       "4.10.0",           "12",               "3.3.4",                    "Visual Studio 2022 v17.10",    ".NET 8",       "$(NoWarn);nullable"
"true",       "4.11.0",           "12",               "3.3.4",                    "Visual Studio 2022 v17.11",    ".NET 8",       "$(NoWarn);nullable"
"true",       "4.12.0",           "12",               "3.3.4",                    "Visual Studio 2022 v17.12",    ".NET 8",       "$(NoWarn);nullable"
"true",       "4.13.0",           "13",               "3.11.0",                   "Visual Studio 2022 v17.13",    ".NET 9",       "$(NoWarn);nullable"
"true",       "4.14.0",           "13",               "4.14.0",                   "Visual Studio 2022 v17.14",    ".NET 9",       "$(NoWarn);nullable;CS0618"
